"Text-raw","IsAVerse","Verse-temp","Chapter 1","AnyChapter","IsABook","Type","Chapter","Text"
"6 And it came to pass that he returned to his own house at Jerusalem; and he cast himself upon his bed, being overcome with the Spirit and the things which he had seen;",1,6,0,0,0,"verse",1,"And it came to pass that he returned to his own house at Jerusalem; and he cast himself upon his bed, being overcome with the Spirit and the things which he had seen;"
"7 And being thus overcome with the Spirit, he was carried away in a vision, even that he saw the heavens open; and he thought he saw God sitting upon his throne, surrounded with numberless concourses of angels in the attitude of singing and praising their God.",1,7,0,0,0,"verse",1,"And being thus overcome with the Spirit, he was carried away in a vision, even that he saw the heavens open; and he thought he saw God sitting upon his throne, surrounded with numberless concourses of angels in the attitude of singing and praising their God."
"8 And it came to pass that he saw one descending out of the midst of heaven, and he beheld that his luster was above that of the sun at noonday;",1,8,0,0,0,"verse",1,"And it came to pass that he saw one descending out of the midst of heaven, and he beheld that his luster was above that of the sun at noonday;"
"9 And he also saw twelve others following him, and their brightness did exceed that of the stars in the firmament; and they came down and went forth upon the face of the earth;",1,9,0,0,0,"verse",1,"And he also saw twelve others following him, and their brightness did exceed that of the stars in the firmament; and they came down and went forth upon the face of the earth;"
"10 And the first came, and stood before my father, and gave unto him a book, and bade him that he should read.",1,10,0,0,0,"verse",1,"And the first came, and stood before my father, and gave unto him a book, and bade him that he should read."
"11 And it came to pass that as he read, he was filled with the Spirit of the Lord; and he read, saying, Wo, wo unto Jerusalem! For I have seen thine abominations;",1,11,0,0,0,"verse",1,"And it came to pass that as he read, he was filled with the Spirit of the Lord; and he read, saying, Wo, wo unto Jerusalem! For I have seen thine abominations;"
"12 Yea, and many things did my father read concerning Jerusalem--that it should be destroyed, and the inhabitants thereof, many should perish by the sword, and many should be carried away captive into Babylon.",1,12,0,0,0,"verse",1,"Yea, and many things did my father read concerning Jerusalem--that it should be destroyed, and the inhabitants thereof, many should perish by the sword, and many should be carried away captive into Babylon."
"13 And it came to pass that when my father had read and seen many great and marvelous things, he did exclaim many things unto the Lord, such as, Great and marvelous are thy works, O Lord God Almighty! Thy throne is high in the heavens, and thy power, and goodness, and mercy are over all the inhabitants of the earth; and because thou art merciful, thou wilt not suffer those who come unto thee that they shall perish!",1,13,0,0,0,"verse",1,"And it came to pass that when my father had read and seen many great and marvelous things, he did exclaim many things unto the Lord, such as, Great and marvelous are thy works, O Lord God Almighty! Thy throne is high in the heavens, and thy power, and goodness, and mercy are over all the inhabitants of the earth; and because thou art merciful, thou wilt not suffer those who come unto thee that they shall perish!"
"14 And after this manner was the language of my father in the praising of his God; for his soul did rejoice, and his whole heart was filled because of the things which he had seen, yea, which the Lord had shown unto him.",1,14,0,0,0,"verse",1,"And after this manner was the language of my father in the praising of his God; for his soul did rejoice, and his whole heart was filled because of the things which he had seen, yea, which the Lord had shown unto him."
"15 And now, I, Nephi, do not make a full account of the things which my father hath written, for he hath written many things which he saw in visions and in dreams;",1,15,0,0,0,"verse",1,"And now, I, Nephi, do not make a full account of the things which my father hath written, for he hath written many things which he saw in visions and in dreams;"
"16 And he also hath written many things which he prophesied and spake unto his children, of which I shall not make a full account; but I shall make an account of my proceedings in my days.",1,16,0,0,0,"verse",1,"And he also hath written many things which he prophesied and spake unto his children, of which I shall not make a full account; but I shall make an account of my proceedings in my days."
"17 Behold, I make an abridgment of the record of my father upon plates which I have made with mine own hands; wherefore, after I have abridged the record of my father, then will I make an account of mine own life.",1,17,0,0,0,"verse",1,"Behold, I make an abridgment of the record of my father upon plates which I have made with mine own hands; wherefore, after I have abridged the record of my father, then will I make an account of mine own life."
"18 Therefore, I would that ye should know that after the Lord had shown so many marvelous things unto my father Lehi, yea, concerning the destruction of Jerusalem, behold, he went forth among the people and began to prophesy and to declare unto them concerning the things which he had both seen and heard.",1,18,0,0,0,"verse",1,"Therefore, I would that ye should know that after the Lord had shown so many marvelous things unto my father Lehi, yea, concerning the destruction of Jerusalem, behold, he went forth among the people and began to prophesy and to declare unto them concerning the things which he had both seen and heard."
"19 And it came to pass that the Jews did mock him because of the things which he testified of them; for he truly testified of their wickedness and their abominations;",1,19,0,0,0,"verse",1,"And it came to pass that the Jews did mock him because of the things which he testified of them; for he truly testified of their wickedness and their abominations;"
"20 And he testified that the things which he saw and heard, and also the things which he read in the book, manifested plainly of the coming of a Messiah and also the redemption of the world.",1,20,0,0,0,"verse",1,"And he testified that the things which he saw and heard, and also the things which he read in the book, manifested plainly of the coming of a Messiah and also the redemption of the world."
"21 And when the Jews heard these things, they were angry with him, yea, even as with the prophets of old, whom they had cast out, and stoned, and slain;",1,21,0,0,0,"verse",1,"And when the Jews heard these things, they were angry with him, yea, even as with the prophets of old, whom they had cast out, and stoned, and slain;"
"22 And they also sought his life, that they might take it away.",1,22,0,0,0,"verse",1,"And they also sought his life, that they might take it away."
"23 But behold, I, Nephi, will show unto you that the tender mercies of the Lord are over all those whom he hath chosen, because of their faith, to make them mighty even unto the power of deliverance.",1,23,0,0,0,"verse",1,"But behold, I, Nephi, will show unto you that the tender mercies of the Lord are over all those whom he hath chosen, because of their faith, to make them mighty even unto the power of deliverance."
"24 For behold, it came to pass that the Lord spake unto my father, yea, even in a dream, and said unto him, Blessed art thou, Lehi, because of the things which thou hast done;",1,24,0,0,0,"verse",1,"For behold, it came to pass that the Lord spake unto my father, yea, even in a dream, and said unto him, Blessed art thou, Lehi, because of the things which thou hast done;"
"25 And because thou hast been faithful and declared unto this people the things which I commanded thee, behold, they seek to take away thy life.",1,25,0,0,0,"verse",1,"And because thou hast been faithful and declared unto this people the things which I commanded thee, behold, they seek to take away thy life."
"26 And it came to pass that the Lord commanded my father, even in a dream, that he should take his family and depart into the wilderness.",1,26,0,0,0,"verse",1,"And it came to pass that the Lord commanded my father, even in a dream, that he should take his family and depart into the wilderness."
"27 And it came to pass that he was obedient unto the word of the Lord; wherefore, he did as the Lord commanded him.",1,27,0,0,0,"verse",1,"And it came to pass that he was obedient unto the word of the Lord; wherefore, he did as the Lord commanded him."
"28 And it came to pass that he departed into the wilderness.",1,28,0,0,0,"verse",1,"And it came to pass that he departed into the wilderness."
"29 And he left his house, and the land of his inheritance, and his gold, and his silver, and his precious things, and took nothing with him, save it were his family, and provisions, and tents; and he departed into the wilderness;",1,29,0,0,0,"verse",1,"And he left his house, and the land of his inheritance, and his gold, and his silver, and his precious things, and took nothing with him, save it were his family, and provisions, and tents; and he departed into the wilderness;"
"30 And he came down by the borders near the shore of the Red Sea;",1,30,0,0,0,"verse",1,"And he came down by the borders near the shore of the Red Sea;"
"31 And he traveled in the wilderness in the borders which were nearer the Red Sea;",1,31,0,0,0,"verse",1,"And he traveled in the wilderness in the borders which were nearer the Red Sea;"
"32 And he did travel in the wilderness with his family, which consisted of my mother Sariah, and my elder brothers, who were Laman, Lemuel, and Sam.",1,32,0,0,0,"verse",1,"And he did travel in the wilderness with his family, which consisted of my mother Sariah, and my elder brothers, who were Laman, Lemuel, and Sam."
"33 And it came to pass that when he had traveled three days in the wilderness, he pitched his tent in a valley by the side of a river of water.",1,33,0,0,0,"verse",1,"And it came to pass that when he had traveled three days in the wilderness, he pitched his tent in a valley by the side of a river of water."
"34 And it came to pass that he built an altar of stones, and he made an offering unto the Lord and gave thanks unto the Lord, our God.",1,34,0,0,0,"verse",1,"And it came to pass that he built an altar of stones, and he made an offering unto the Lord and gave thanks unto the Lord, our God."
"35 And it came to pass that he called the name of the river Laman, and it emptied into the Red Sea; and the valley was in the borders near the mouth thereof.",1,35,0,0,0,"verse",1,"And it came to pass that he called the name of the river Laman, and it emptied into the Red Sea; and the valley was in the borders near the mouth thereof."
"36 And when my father saw that the waters of the river emptied into the fountain of the Red Sea, he spake unto Laman, saying, Oh, that thou mightest be like unto this river, continually running into the fountain of all righteousness.",1,36,0,0,0,"verse",1,"And when my father saw that the waters of the river emptied into the fountain of the Red Sea, he spake unto Laman, saying, Oh, that thou mightest be like unto this river, continually running into the fountain of all righteousness."
"37 And he also spake unto Lemuel: Oh, that thou mightest be like unto this valley--firm, and steadfast, and immovable in keeping the commandments of the Lord.",1,37,0,0,0,"verse",1,"And he also spake unto Lemuel: Oh, that thou mightest be like unto this valley--firm, and steadfast, and immovable in keeping the commandments of the Lord."
"38 Now this he spake because of the stiff-neckedness of Laman and Lemuel; for behold, they did murmur in many things against their father because he was a visionary man and had led them out of the land of Jerusalem, to leave the land of their inheritance, and their gold, and their silver, and their precious things, to perish in the wilderness.",1,38,0,0,0,"verse",1,"Now this he spake because of the stiff-neckedness of Laman and Lemuel; for behold, they did murmur in many things against their father because he was a visionary man and had led them out of the land of Jerusalem, to leave the land of their inheritance, and their gold, and their silver, and their precious things, to perish in the wilderness."
"39 And this they said he had done because of the foolish imaginations of his heart.",1,39,0,0,0,"verse",1,"And this they said he had done because of the foolish imaginations of his heart."
"40 And thus Laman and Lemuel, being the eldest, did murmur against their father.",1,40,0,0,0,"verse",1,"And thus Laman and Lemuel, being the eldest, did murmur against their father."
"41 And they did murmur because they knew not the dealings of that God who had created them.",1,41,0,0,0,"verse",1,"And they did murmur because they knew not the dealings of that God who had created them."
"42 Neither did they believe that Jerusalem, that great city, could be destroyed according to the words of the prophets.",1,42,0,0,0,"verse",1,"Neither did they believe that Jerusalem, that great city, could be destroyed according to the words of the prophets."
"43 And they were like unto the Jews, who were at Jerusalem, who sought to take away the life of my father.",1,43,0,0,0,"verse",1,"And they were like unto the Jews, who were at Jerusalem, who sought to take away the life of my father."
"44 And it came to pass that my father did speak unto them in the valley of Lemuel, with power, being filled with the Spirit, until their frames did shake before him.",1,44,0,0,0,"verse",1,"And it came to pass that my father did speak unto them in the valley of Lemuel, with power, being filled with the Spirit, until their frames did shake before him."
"45 And he did confound them, that they durst not utter against him; wherefore, they did as he commanded them.",1,45,0,0,0,"verse",1,"And he did confound them, that they durst not utter against him; wherefore, they did as he commanded them."
"46 And my father dwelt in a tent.",1,46,0,0,0,"verse",1,"And my father dwelt in a tent."
"47 And it came to pass that I, Nephi, being exceeding young, nevertheless, being large in stature, and also having great desires to know of the mysteries of God,",1,47,0,0,0,"verse",1,"And it came to pass that I, Nephi, being exceeding young, nevertheless, being large in stature, and also having great desires to know of the mysteries of God,"
"48 Wherefore, I did cry unto the Lord; and behold, he did visit me and did soften my heart, that I did believe all the words which had been spoken by my father; wherefore, I did not rebel against him like unto my brothers.",1,48,0,0,0,"verse",1,"Wherefore, I did cry unto the Lord; and behold, he did visit me and did soften my heart, that I did believe all the words which had been spoken by my father; wherefore, I did not rebel against him like unto my brothers."
"49 And I spake unto Sam, making known unto him the things which the Lord had manifested unto me by his Holy Spirit.",1,49,0,0,0,"verse",1,"And I spake unto Sam, making known unto him the things which the Lord had manifested unto me by his Holy Spirit."
"50 And it came to pass that he believed in my words;",1,50,0,0,0,"verse",1,"And it came to pass that he believed in my words;"
"51 But behold, Laman and Lemuel would not hearken unto my words;",1,51,0,0,0,"verse",1,"But behold, Laman and Lemuel would not hearken unto my words;"
"52 And being grieved because of the hardness of their hearts, I cried unto the Lord for them.",1,52,0,0,0,"verse",1,"And being grieved because of the hardness of their hearts, I cried unto the Lord for them."
"53 And it came to pass that the Lord spake unto me, saying, Blessed art thou, Nephi, because of thy faith; for thou hast sought me diligently with lowliness of heart.",1,53,0,0,0,"verse",1,"And it came to pass that the Lord spake unto me, saying, Blessed art thou, Nephi, because of thy faith; for thou hast sought me diligently with lowliness of heart."
"54 And inasmuch as ye shall keep my commandments, ye shall prosper and shall be led to a land of promise, yea, even a land which I have prepared for you, yea, a land which is choice above all other lands.",1,54,0,0,0,"verse",1,"And inasmuch as ye shall keep my commandments, ye shall prosper and shall be led to a land of promise, yea, even a land which I have prepared for you, yea, a land which is choice above all other lands."
"55 And inasmuch as thy brethren shall rebel against thee, they shall be cut off from the presence of the Lord.",1,55,0,0,0,"verse",1,"And inasmuch as thy brethren shall rebel against thee, they shall be cut off from the presence of the Lord."
"56 And inasmuch as thou shalt keep my commandments, thou shalt be made a ruler and a teacher over thy brethren.",1,56,0,0,0,"verse",1,"And inasmuch as thou shalt keep my commandments, thou shalt be made a ruler and a teacher over thy brethren."
"57 For behold, in that day that they shall rebel against me, I will curse them even with a sore curse; and they shall have no power over thy seed, except they shall rebel against me also.",1,57,0,0,0,"verse",1,"For behold, in that day that they shall rebel against me, I will curse them even with a sore curse; and they shall have no power over thy seed, except they shall rebel against me also."
"58 And if it so be that they rebel against me, they shall be a scourge unto thy seed, to stir them up in the ways of remembrance.",1,58,0,0,0,"verse",1,"And if it so be that they rebel against me, they shall be a scourge unto thy seed, to stir them up in the ways of remembrance."
"59 And it came to pass that I, Nephi, returned from speaking with the Lord, to the tent of my father.",1,59,0,0,0,"verse",1,"And it came to pass that I, Nephi, returned from speaking with the Lord, to the tent of my father."
"60 And it came to pass that he spake unto me, saying, Behold, I have dreamed a dream, in the which the Lord hath commanded me that thou and thy brethren shall return to Jerusalem.",1,60,0,0,0,"verse",1,"And it came to pass that he spake unto me, saying, Behold, I have dreamed a dream, in the which the Lord hath commanded me that thou and thy brethren shall return to Jerusalem."
"61 For behold, Laban hath the record of the Jews and also a genealogy of thy forefathers, and they are engraven upon plates of brass.",1,61,0,0,0,"verse",1,"For behold, Laban hath the record of the Jews and also a genealogy of thy forefathers, and they are engraven upon plates of brass."
"62 Wherefore, the Lord hath commanded me that thou and thy brothers should go unto the house of Laban, and seek the records, and bring them down hither into the wilderness.",1,62,0,0,0,"verse",1,"Wherefore, the Lord hath commanded me that thou and thy brothers should go unto the house of Laban, and seek the records, and bring them down hither into the wilderness."
"63 And now, behold, thy brothers murmur, saying it is a hard thing which I have required of them; but behold, I have not required it of them; but it is a commandment of the Lord.",1,63,0,0,0,"verse",1,"And now, behold, thy brothers murmur, saying it is a hard thing which I have required of them; but behold, I have not required it of them; but it is a commandment of the Lord."
"64 Therefore, go, my son, and thou shalt be favored of the Lord because thou hast not murmured.",1,64,0,0,0,"verse",1,"Therefore, go, my son, and thou shalt be favored of the Lord because thou hast not murmured."
"65 And it came to pass that I, Nephi, said unto my father, I will go and do the things which the Lord hath commanded; for I know that the Lord giveth no commandments unto the children of men, save he shall prepare a way for them that they may accomplish the thing which he commandeth them.",1,65,0,0,0,"verse",1,"And it came to pass that I, Nephi, said unto my father, I will go and do the things which the Lord hath commanded; for I know that the Lord giveth no commandments unto the children of men, save he shall prepare a way for them that they may accomplish the thing which he commandeth them."
"66 And it came to pass that when my father had heard these words, he was exceeding glad, for he knew that I had been blessed of the Lord.",1,66,0,0,0,"verse",1,"And it came to pass that when my father had heard these words, he was exceeding glad, for he knew that I had been blessed of the Lord."
"67 And I, Nephi, and my brethren took our journey in the wilderness with our tents, to go up to the land of Jerusalem.",1,67,0,0,0,"verse",1,"And I, Nephi, and my brethren took our journey in the wilderness with our tents, to go up to the land of Jerusalem."
"68 And it came to pass that when we had come up to the land of Jerusalem, I and my brethren did consult one with another; and we cast lots who of us should go in unto the house of Laban.",1,68,0,0,0,"verse",1,"And it came to pass that when we had come up to the land of Jerusalem, I and my brethren did consult one with another; and we cast lots who of us should go in unto the house of Laban."
"69 And it came to pass that the lot fell upon Laman; and Laman went in unto the house of Laban, and he talked with him as he sat in his house.",1,69,0,0,0,"verse",1,"And it came to pass that the lot fell upon Laman; and Laman went in unto the house of Laban, and he talked with him as he sat in his house."
"70 And he desired of Laban the records which were engraven upon the plates of brass, which contained the genealogy of my father.",1,70,0,0,0,"verse",1,"And he desired of Laban the records which were engraven upon the plates of brass, which contained the genealogy of my father."
"71 And behold, it came to pass that Laban was angry and thrust him out from his presence; and he would not that he should have the records.",1,71,0,0,0,"verse",1,"And behold, it came to pass that Laban was angry and thrust him out from his presence; and he would not that he should have the records."
"72 Wherefore, he said unto him, Behold, thou art a robber, and I will slay thee.",1,72,0,0,0,"verse",1,"Wherefore, he said unto him, Behold, thou art a robber, and I will slay thee."
"73 But Laman fled out of his presence and told the things which Laban had done, unto us.",1,73,0,0,0,"verse",1,"But Laman fled out of his presence and told the things which Laban had done, unto us."
"74 And we began to be exceeding sorrowful, and my brethren were about to return unto my father in the wilderness.",1,74,0,0,0,"verse",1,"And we began to be exceeding sorrowful, and my brethren were about to return unto my father in the wilderness."
"75 But behold, I said unto them, that as the Lord liveth, and as we live, we will not go down unto our father in the wilderness until we have accomplished the thing which the Lord hath commanded us.",1,75,0,0,0,"verse",1,"But behold, I said unto them, that as the Lord liveth, and as we live, we will not go down unto our father in the wilderness until we have accomplished the thing which the Lord hath commanded us."
"76 Wherefore, let us be faithful in keeping the commandments of the Lord;",1,76,0,0,0,"verse",1,"Wherefore, let us be faithful in keeping the commandments of the Lord;"
"77 Therefore, let us go down to the land of our father's inheritance; for behold, he left gold, and silver, and all manner of riches.",1,77,0,0,0,"verse",1,"Therefore, let us go down to the land of our father's inheritance; for behold, he left gold, and silver, and all manner of riches."
"78 And all this he hath done because of the commandments of the Lord; for he knowing that Jerusalem must be destroyed because of the wickedness of the people--",1,78,0,0,0,"verse",1,"And all this he hath done because of the commandments of the Lord; for he knowing that Jerusalem must be destroyed because of the wickedness of the people--"
"79 For behold, they have rejected the words of the prophets--",1,79,0,0,0,"verse",1,"For behold, they have rejected the words of the prophets--"
"80 Wherefore, if my father should dwell in the land after he hath been commanded to flee out of the land, behold, he would also perish.",1,80,0,0,0,"verse",1,"Wherefore, if my father should dwell in the land after he hath been commanded to flee out of the land, behold, he would also perish."
"81 Wherefore, it must needs be that he flee out of the land.",1,81,0,0,0,"verse",1,"Wherefore, it must needs be that he flee out of the land."
"82 And behold, it is wisdom in God that we should obtain these records, that we may preserve unto our children the language of our fathers,",1,82,0,0,0,"verse",1,"And behold, it is wisdom in God that we should obtain these records, that we may preserve unto our children the language of our fathers,"
"83 And also that we may preserve unto them the words which have been spoken by the mouth of all the holy prophets, which have been delivered unto them by the Spirit and power of God since the world began, even down unto this present time.",1,83,0,0,0,"verse",1,"And also that we may preserve unto them the words which have been spoken by the mouth of all the holy prophets, which have been delivered unto them by the Spirit and power of God since the world began, even down unto this present time."
"84 And it came to pass that after this manner of language did I persuade my brethren, that they might be faithful in keeping the commandments of God.",1,84,0,0,0,"verse",1,"And it came to pass that after this manner of language did I persuade my brethren, that they might be faithful in keeping the commandments of God."
"85 And it came to pass that we went down to the land of our inheritance, and we did gather together our gold, and our silver, and our precious things.",1,85,0,0,0,"verse",1,"And it came to pass that we went down to the land of our inheritance, and we did gather together our gold, and our silver, and our precious things."
"86 And after we had gathered these things together, we went up again unto the house of Laban.",1,86,0,0,0,"verse",1,"And after we had gathered these things together, we went up again unto the house of Laban."
"87 And it came to pass that we went in unto Laban and desired him that he would give unto us the records which were engraven upon the plates of brass, for which we would give unto him our gold, and our silver, and all our precious things.",1,87,0,0,0,"verse",1,"And it came to pass that we went in unto Laban and desired him that he would give unto us the records which were engraven upon the plates of brass, for which we would give unto him our gold, and our silver, and all our precious things."
"88 And it came to pass that when Laban saw our property, that it was exceeding great, he did lust after it, insomuch that he thrust us out and sent his servants to slay us, that he might obtain our property.",1,88,0,0,0,"verse",1,"And it came to pass that when Laban saw our property, that it was exceeding great, he did lust after it, insomuch that he thrust us out and sent his servants to slay us, that he might obtain our property."
"89 And it came to pass that we did flee before the servants of Laban; and we were obliged to leave behind our property, and it fell into the hands of Laban.",1,89,0,0,0,"verse",1,"And it came to pass that we did flee before the servants of Laban; and we were obliged to leave behind our property, and it fell into the hands of Laban."
"90 And it came to pass that we fled into the wilderness, and the servants of Laban did not overtake us, and we hid ourselves in the cavity of a rock.",1,90,0,0,0,"verse",1,"And it came to pass that we fled into the wilderness, and the servants of Laban did not overtake us, and we hid ourselves in the cavity of a rock."
"91 And it came to pass that Laman was angry with me and also with my father, and also was Lemuel; for he hearkened unto the words of Laman.",1,91,0,0,0,"verse",1,"And it came to pass that Laman was angry with me and also with my father, and also was Lemuel; for he hearkened unto the words of Laman."
"92 Wherefore, Laman and Lemuel did speak many hard words unto us, their younger brothers, and they did smite us even with a rod.",1,92,0,0,0,"verse",1,"Wherefore, Laman and Lemuel did speak many hard words unto us, their younger brothers, and they did smite us even with a rod."
"93 And it came to pass as they smote us with a rod, behold, an angel of the Lord came and stood before them; and he spake unto them saying, Why do ye smite your younger brother with a rod?",1,93,0,0,0,"verse",1,"And it came to pass as they smote us with a rod, behold, an angel of the Lord came and stood before them; and he spake unto them saying, Why do ye smite your younger brother with a rod?"
"94 Know ye not that the Lord hath chosen him to be a ruler over you, and this because of your iniquities?",1,94,0,0,0,"verse",1,"Know ye not that the Lord hath chosen him to be a ruler over you, and this because of your iniquities?"
"95 Behold, ye shall go up to Jerusalem again, and the Lord will deliver Laban into your hands.",1,95,0,0,0,"verse",1,"Behold, ye shall go up to Jerusalem again, and the Lord will deliver Laban into your hands."
"96 And after the angel had spoken unto us, he departed.",1,96,0,0,0,"verse",1,"And after the angel had spoken unto us, he departed."
"97 And after the angel had departed, Laman and Lemuel again began to murmur, saying, How is it possible that the Lord will deliver Laban into our hands?",1,97,0,0,0,"verse",1,"And after the angel had departed, Laman and Lemuel again began to murmur, saying, How is it possible that the Lord will deliver Laban into our hands?"
"98 Behold, he is a mighty man, and he can command fifty; yea, even he can slay fifty; then why not us?",1,98,0,0,0,"verse",1,"Behold, he is a mighty man, and he can command fifty; yea, even he can slay fifty; then why not us?"
"99 And it came to pass that I spake unto my brethren, saying, Let us go up again unto Jerusalem, and let us be faithful in keeping the commandments of the Lord; for behold, he is mightier than all the earth, then why not mightier than Laban and his fifty, yea, or even than his tens of thousands.",1,99,0,0,0,"verse",1,"And it came to pass that I spake unto my brethren, saying, Let us go up again unto Jerusalem, and let us be faithful in keeping the commandments of the Lord; for behold, he is mightier than all the earth, then why not mightier than Laban and his fifty, yea, or even than his tens of thousands."
"100 Therefore, let us go up; let us be strong like unto Moses; for he truly spake unto the waters of the Red Sea, and they divided hither and thither; and our fathers came through out of captivity on dry ground, and the armies of Pharaoh did follow and were drowned in the waters of the Red Sea.",1,100,0,0,0,"verse",1,"Therefore, let us go up; let us be strong like unto Moses; for he truly spake unto the waters of the Red Sea, and they divided hither and thither; and our fathers came through out of captivity on dry ground, and the armies of Pharaoh did follow and were drowned in the waters of the Red Sea."
"101 Now behold, ye know that this is true; and ye also know that an angel hath spoken unto you; wherefore can ye doubt?",1,101,0,0,0,"verse",1,"Now behold, ye know that this is true; and ye also know that an angel hath spoken unto you; wherefore can ye doubt?"
"102 Let us go up; the Lord is able to deliver us, even as our fathers, and to destroy Laban, even as the Egyptians.",1,102,0,0,0,"verse",1,"Let us go up; the Lord is able to deliver us, even as our fathers, and to destroy Laban, even as the Egyptians."
"103 Now when I had spoken these words, they were yet wroth and did still continue to murmur; nevertheless, they did follow me up until we came without the walls of Jerusalem.",1,103,0,0,0,"verse",1,"Now when I had spoken these words, they were yet wroth and did still continue to murmur; nevertheless, they did follow me up until we came without the walls of Jerusalem."
"104 And it was by night, and I caused that they should hide themselves without the walls.",1,104,0,0,0,"verse",1,"And it was by night, and I caused that they should hide themselves without the walls."
"105 And after they had hid themselves, I, Nephi, crept into the city and went forth towards the house of Laban.",1,105,0,0,0,"verse",1,"And after they had hid themselves, I, Nephi, crept into the city and went forth towards the house of Laban."
"106 And I was led by the Spirit, not knowing beforehand the things which I should do.",1,106,0,0,0,"verse",1,"And I was led by the Spirit, not knowing beforehand the things which I should do."
"107 Nevertheless, I went forth; and as I came near unto the house of Laban, I beheld a man, and he had fallen to the earth before me, for he was drunken with wine.",1,107,0,0,0,"verse",1,"Nevertheless, I went forth; and as I came near unto the house of Laban, I beheld a man, and he had fallen to the earth before me, for he was drunken with wine."
"108 And when I came to him, I found that it was Laban.",1,108,0,0,0,"verse",1,"And when I came to him, I found that it was Laban."
